question,ground_truth
"Theo Nghị quyết 68-NQ/TW của Bộ Chính trị, việc xử lý sai phạm kinh tế của doanh nghiệp được ưu tiên thực hiện như thế nào?","Nghị quyết 68 yêu cầu ưu tiên áp dụng các biện pháp dân sự, kinh tế, hành chính trước để khắc phục hậu quả, chỉ khi vi phạm đến mức bắt buộc mới áp dụng chế tài hình sự."
"Sau 8 năm áp dụng Bộ luật Hình sự 2015, tỷ lệ doanh nghiệp bị khởi tố hoặc truy tố tại Việt Nam là bao nhiêu?","Tỷ lệ doanh nghiệp bị truy tố/khởi tố là 0,0023% trên tổng số hơn 688.000 vụ án hình sự (chỉ có 16 vụ)."
"Trong mùa tuyển sinh đại học năm 2025, phương thức xét tuyển nào chiếm tỷ lệ thí sinh nhập học cao nhất?","Xét tuyển bằng điểm thi tốt nghiệp THPT chiếm tỷ lệ cao nhất với 50,32% số thí sinh nhập học."
"Việc các trường đại học tổ chức quá nhiều kỳ thi riêng lẻ gây ra hệ lụy gì cho học sinh ở các tỉnh xa?","Việc này tạo thành gánh nặng do học sinh phải chịu thêm lệ phí thi, chi phí đi lại và làm thời gian ôn tập bị cắt nhỏ."
"Mức phạt hành chính tối đa hiện nay đối với hành vi kinh doanh hàng giả là bao nhiêu?","Mức phạt hành chính tối đa là 250 triệu đồng đối với cá nhân và 500 triệu đồng đối với tổ chức vi phạm."
"Các cơ sở sản xuất mỹ phẩm giả quy mô lớn tại huyện Bình Chánh tiêu thụ hàng hóa chủ yếu qua các kênh nào?","Hàng hóa chủ yếu được bỏ mối tại các chợ và bán trên các nền tảng thương mại điện tử, mạng xã hội như Facebook, Zalo."
"Theo dự kiến của Bộ Tài chính, ngưỡng doanh thu không chịu thuế của hộ kinh doanh sẽ được nâng lên mức nào?","Ngưỡng doanh thu không chịu thuế của hộ kinh doanh dự kiến được nâng lên mức 1 tỷ đồng/năm."
"Chính phủ yêu cầu lãnh đạo các địa phương có trách nhiệm gì đối với các dự án kinh tế đang bị tồn đọng, ách tắc?","Lãnh đạo địa phương phải tổ chức thực hiện, dám quyết và tháo gỡ nhanh chóng các vướng mắc để kịp thời đưa nguồn lực của các dự án này quay trở lại phục vụ kinh tế."
"Trung Quốc đã áp dụng biện pháp khẩn cấp nào để đảm bảo nguồn cung nhiên liệu nội địa khi giá dầu tăng cao?","Trung Quốc yêu cầu các nhà máy lọc dầu ngừng ký hợp đồng xuất khẩu mới và đàm phán hủy các lô hàng đã cam kết (ngoại trừ nhiên liệu máy bay quốc tế và nguồn cho Hong Kong, Macau)."
"Vào tháng 1/2026, Thái Lan đã phê duyệt chương trình gì để thúc đẩy sử dụng nguồn điện tái tạo?","Thái Lan đã phê duyệt Chương trình 'Mua điện trực tiếp' (DPPA) thí điểm 2 GW cho trung tâm dữ liệu nhằm thúc đẩy nguồn điện tái tạo."
